environment | time (s),PI3K | RP_percent (dimensionless)
1488,22.0706
1489,22.0608
1490,22.0511
1491,22.0413
1492,22.0316
1493,22.0218
1494,22.0121
1495,22.0024
1496,21.9926
1497,21.9829
1498,21.9732
1499,21.9635
1500,21.9538
1501,21.9441
1502,21.9344
1503,21.9247
1504,21.915
1505,21.9053
1506,21.8957
1507,21.886
1508,21.8763
1509,21.8667
1510,21.857
1511,21.8474
1512,21.8377
1513,21.8281
1514,21.8184
1515,21.8088
1516,21.7992
1517,21.7896
1518,21.78
1519,21.7704
1520,21.7608
1521,21.7512
1522,21.7416
1523,21.732
1524,21.7224
1525,21.7128
1526,21.7032
1527,21.6937
1528,21.6841
1529,21.6746
1530,21.665
1531,21.6555
1532,21.6459
1533,21.6364
1534,21.6269
1535,21.6173
1536,21.6078
1537,21.5983
1538,21.5888
1539,21.5793
1540,21.5698
1541,21.5603
1542,21.5508
1543,21.5413
1544,21.5318
1545,21.5223
1546,21.5129
1547,21.5034
1548,21.4939
1549,21.4845
1550,21.475
1551,21.4656
1552,21.4562
1553,21.4467
1554,21.4373
1555,21.4279
1556,21.4184
1557,21.409
1558,21.3996
1559,21.3902
1560,21.3808
1561,21.3714
1562,21.362
1563,21.3526
1564,21.3433
1565,21.3339
1566,21.3245
1567,21.3151
1568,21.3058
1569,21.2964
1570,21.2871
1571,21.2777
1572,21.2684
1573,21.2591
1574,21.2497
1575,21.2404
1576,21.2311
1577,21.2218
1578,21.2125
1579,21.2032
1580,21.1939
1581,21.1846
1582,21.1753
1583,21.166
1584,21.1567
1585,21.1474
1586,21.1382
1587,21.1289
1588,21.1196
1589,21.1104
1590,21.1011
1591,21.0919
1592,21.0826
1593,21.0734
1594,21.0642
1595,21.0549
1596,21.0457
1597,21.0365
1598,21.0273
1599,21.0181
1600,21.0089
1601,20.9997
1602,20.9905
1603,20.9813
1604,20.9721
1605,20.9629
1606,20.9538
1607,20.9446
1608,20.9354
1609,20.9263
1610,20.9171
1611,20.908
1612,20.8988
1613,20.8897
1614,20.8805
1615,20.8714
1616,20.8623
1617,20.8532
1618,20.8441
1619,20.8349
1620,20.8258
1621,20.8167
1622,20.8076
1623,20.7985
1624,20.7895
1625,20.7804
1626,20.7713
1627,20.7622
1628,20.7532
1629,20.7441
1630,20.735
1631,20.726
1632,20.7169
1633,20.7079
1634,20.6989
1635,20.6898
1636,20.6808
1637,20.6718
1638,20.6628
1639,20.6537
1640,20.6447
1641,20.6357
1642,20.6267
1643,20.6177
1644,20.6087
1645,20.5997
1646,20.5908
1647,20.5818
1648,20.5728
1649,20.5638
1650,20.5549
1651,20.5459
1652,20.537
1653,20.528
1654,20.5191
1655,20.5101
1656,20.5012
1657,20.4923
1658,20.4834
1659,20.4744
1660,20.4655
1661,20.4566
1662,20.4477
1663,20.4388
1664,20.4299
1665,20.421
1666,20.4121
1667,20.4032
1668,20.3944
1669,20.3855
1670,20.3766
1671,20.3677
1672,20.3589
1673,20.35
1674,20.3412
1675,20.3323
1676,20.3235
1677,20.3147
1678,20.3058
1679,20.297
1680,20.2882
1681,20.2794
1682,20.2705
1683,20.2617
1684,20.2529
1685,20.2441
1686,20.2353
1687,20.2265
1688,20.2178
1689,20.209
1690,20.2002
1691,20.1914
1692,20.1827
1693,20.1739
1694,20.1651
1695,20.1564
1696,20.1476
1697,20.1389
1698,20.1302
1699,20.1214
1700,20.1127
1701,20.104
1702,20.0952
1703,20.0865
1704,20.0778
1705,20.0691
1706,20.0604
1707,20.0517
1708,20.043
1709,20.0343
1710,20.0256
1711,20.0169
1712,20.0083
1713,19.9996
1714,19.9909
1715,19.9823
1716,19.9736
1717,19.965
1718,19.9563
1719,19.9477
1720,19.939
1721,19.9304
1722,19.9218
1723,19.9131
1724,19.9045
1725,19.8959
1726,19.8873
1727,19.8787
1728,19.8701
1729,19.8615
1730,19.8529
1731,19.8443
1732,19.8357
1733,19.8271
1734,19.8185
1735,19.81
1736,19.8014
1737,19.7928
1738,19.7843
1739,19.7757
1740,19.7672
1741,19.7586
1742,19.7501
1743,19.7415
1744,19.733
1745,19.7245
1746,19.716
1747,19.7074
1748,19.6989
1749,19.6904
1750,19.6819
1751,19.6734
1752,19.6649
1753,19.6564
1754,19.6479
1755,19.6394
1756,19.631
1757,19.6225
1758,19.614
1759,19.6055
1760,19.5971
1761,19.5886
1762,19.5802
1763,19.5717
1764,19.5633
1765,19.5548
1766,19.5464
1767,19.538
1768,19.5295
1769,19.5211
1770,19.5127
1771,19.5043
1772,19.4959
1773,19.4875
1774,19.4791
1775,19.4707
1776,19.4623
1777,19.4539
1778,19.4455
1779,19.4371
1780,19.4288
1781,19.4204
1782,19.412
1783,19.4037
1784,19.3953
1785,19.387
1786,19.3786
1787,19.3703
1788,19.3619
1789,19.3536
1790,19.3453
1791,19.3369
1792,19.3286
1793,19.3203
1794,19.312
1795,19.3037
1796,19.2954
1797,19.2871
1798,19.2788
1799,19.2705
1800,19.2622
